new
CSE333 L3T3 Software Engineering
A 40 20 721500151 ZNT
B 43 42 710001564 RAH
C 40 36 710001630 RA
D 40 40 710001780 JAO
E 42 42 710001630 RA
F 40 40 710001892 UD
G 42 41 710001709 FA
H 42 42 710001709 FA
I 40 36 710001702 TC
J 40 37 710001707 TA
K 40 31 710001707 TA
L 40 36 710001429 FI
new
CSE112 L1T1 Computer Fundamentals
A 42 42 710001446 NJ
B 43 41 710001446 NJ
C 43 41 710001446 NJ
D 42 41 710001895 MAAH
E 43 43 710001707 TA
F 41 40 710001888 NN
G 40 41 710001895 MAAH
H 41 41 710001890 MSM
I 41 41 710001890 MSM
J 41 41 710001894 TA
K 43 42 710001894 TA
L 42 42 710001895 MAAH
M 43 43 710001930 AI
N 43 43 710001446 NJ
O 43 43 710001930 AI
P 41 41 710001920 AC
Q 42 42 710001920 AC
R 42 42 710001920 AC
S 42 42 710001920 AC
T 43 43 710001449 RS
U 42 42 710001701 MMI
V 40 40 710001449 RS
W 42 42 710001665 MMMM
X 42 41 710001628 NS
Y 41 41 721500168 MJR
